exp_id,household_id,food_expense,education_expense,health_expense,transport_expense
EXP000001,HH000001,13191,3608,110,4519
EXP000002,HH000002,9151,4849,577,6807
EXP000003,HH000003,9508,1991,4134,522
EXP000004,HH000004,13710,5391,3822,5343
EXP000005,HH000005,9489,6923,3829,6377
EXP000006,HH000006,10825,1750,1267,1054
EXP000007,HH000007,6183,6739,3548,5580
EXP000008,HH000008,5175,18,2933,6193
EXP000009,HH000009,13928,6006,344,1857
EXP000010,HH000010,10727,6433,4559,6664
EXP000011,HH000011,5301,2587,3426,4690
EXP000012,HH000012,12841,6226,324,2140
EXP000013,HH000013,14916,5649,4296,5755
EXP000014,HH000014,7070,4456,1828,6895
EXP000015,HH000015,9279,555,1422,3018
EXP000016,HH000016,10375,5302,2925,1929
EXP000017,HH000017,8900,7261,2230,2449
EXP000018,HH000018,10892,3903,4051,1426
EXP000019,HH000019,8951,1107,48,4615
EXP000020,HH000020,12594,3258,3454,2058
EXP000021,HH000021,3172,6399,1973,2290
EXP000022,HH000022,12317,5101,2762,3672
EXP000023,HH000023,7497,1053,2080,5743
EXP000024,HH000024,2599,3996,1024,6255
EXP000025,HH000025,6104,5313,2260,2792
EXP000026,HH000026,11038,5907,2193,3843
EXP000027,HH000027,13661,6114,381,5437
EXP000028,HH000028,11705,4029,1731,2200
EXP000029,HH000029,4758,2487,2622,3527
EXP000030,HH000030,5872,5295,2731,5546
EXP000031,HH000031,9172,5083,3270,3229
EXP000032,HH000032,11790,3673,4352,1938
EXP000033,HH000033,5450,3532,4427,6704
EXP000034,HH000034,8526,6607,1429,4933
EXP000035,HH000035,5275,7129,2571,5363
EXP000036,HH000036,14709,1237,1983,2158
EXP000037,HH000037,11978,2817,894,2803
EXP000038,HH000038,9768,6119,3204,6832
EXP000039,HH000039,5687,3714,4705,2400
EXP000040,HH000040,6844,6219,3653,4382
EXP000041,HH000041,8235,7164,3782,3451
EXP000042,HH000042,11770,6780,408,5957
EXP000043,HH000043,3667,7943,1771,6025
EXP000044,HH000044,7340,6516,4566,5505
EXP000045,HH000045,9740,5974,3244,5802
EXP000046,HH000046,7370,1019,3682,1315
EXP000047,HH000047,6524,7972,3600,6704
EXP000048,HH000048,6414,1617,2084,1704
EXP000049,HH000049,4811,7752,4995,2036
EXP000050,HH000050,10810,681,1750,3117
EXP000051,HH000051,6730,7879,198,911
EXP000052,HH000052,4200,7589,529,3628
EXP000053,HH000053,2188,282,2534,1578
EXP000054,HH000054,4818,7235,2934,5930
EXP000055,HH000055,12496,112,2734,4968
EXP000056,HH000056,13623,5339,427,4549
EXP000057,HH000057,4528,2799,2034,503
EXP000058,HH000058,12706,4519,1313,2186
EXP000059,HH000059,14011,946,2787,5580
EXP000060,HH000060,2714,7090,1759,3440
EXP000061,HH000061,7245,2409,4160,1985
EXP000062,HH000062,10277,4377,1686,6654
EXP000063,HH000063,12149,7493,783,2635
EXP000064,HH000064,12660,2923,859,6779
EXP000065,HH000065,5051,2303,4763,5922
EXP000066,HH000066,9871,1870,1179,5543
EXP000067,HH000067,5480,953,1454,2994
EXP000068,HH000068,8368,4025,4830,1264
EXP000069,HH000069,6200,5853,59,3334
EXP000070,HH000070,8192,5493,141,2988
EXP000071,HH000071,10942,7967,4558,4122
EXP000072,HH000072,13097,6618,1913,1314
EXP000073,HH000073,3448,1253,2616,4794
EXP000074,HH000074,13916,7476,3155,6495
EXP000075,HH000075,2666,57,3842,6000
EXP000076,HH000076,3368,6784,3809,4231
EXP000077,HH000077,10211,786,4937,2556
EXP000078,HH000078,12425,3672,4050,6842
EXP000079,HH000079,3791,7658,4311,615
EXP000080,HH000080,4957,2801,2990,4072
EXP000081,HH000081,6827,138,4317,3836
EXP000082,HH000082,14356,7105,3753,6162
EXP000083,HH000083,6710,7012,1305,3896
EXP000084,HH000084,12666,3835,3922,3540
EXP000085,HH000085,6176,7090,2382,2141
EXP000086,HH000086,12406,386,748,1548
EXP000087,HH000087,9672,435,3458,798
EXP000088,HH000088,12804,4877,3146,3452
EXP000089,HH000089,12176,7188,1463,1761
EXP000090,HH000090,3885,3690,402,5993
EXP000091,HH000091,7908,4409,1809,4865
EXP000092,HH000092,4904,2750,2513,2148
EXP000093,HH000093,11792,4350,4744,1025
EXP000094,HH000094,3822,7012,4663,5660
EXP000095,HH000095,3967,1275,3725,3678
EXP000096,HH000096,9916,1014,2698,5632
