income_id,household_id,monthly_income,income_source
INC000001,HH000001,104479,Agriculture
INC000002,HH000002,19406,Business
INC000003,HH000003,43442,Agriculture
INC000004,HH000004,60192,Business
INC000005,HH000005,43698,Salary
INC000006,HH000006,29753,Business
INC000007,HH000007,51506,Daily Wage
INC000008,HH000008,72161,Business
INC000009,HH000009,60412,Agriculture
INC000010,HH000010,30252,Salary
INC000011,HH000011,111466,Business
INC000012,HH000012,78111,Business
INC000013,HH000013,62284,Business
INC000014,HH000014,35084,Salary
INC000015,HH000015,92780,Business
INC000016,HH000016,108811,Agriculture
INC000017,HH000017,117087,Salary
INC000018,HH000018,84252,Salary
INC000019,HH000019,82338,Business
INC000020,HH000020,116542,Agriculture
INC000021,HH000021,110225,Agriculture
INC000022,HH000022,65156,Business
INC000023,HH000023,107405,Salary
INC000024,HH000024,36010,Daily Wage
INC000025,HH000025,119467,Business
INC000026,HH000026,70301,Business
INC000027,HH000027,41739,Business
INC000028,HH000028,37472,Daily Wage
INC000029,HH000029,100145,Agriculture
INC000030,HH000030,96788,Agriculture
INC000031,HH000031,80779,Agriculture
INC000032,HH000032,46638,Daily Wage
INC000033,HH000033,54043,Daily Wage
INC000034,HH000034,32799,Agriculture
INC000035,HH000035,63977,Business
INC000036,HH000036,89461,Business
INC000037,HH000037,31062,Business
INC000038,HH000038,50961,Daily Wage
INC000039,HH000039,80115,Business
INC000040,HH000040,41328,Business
INC000041,HH000041,10177,Salary
INC000042,HH000042,65425,Business
INC000043,HH000043,69846,Agriculture
INC000044,HH000044,46223,Agriculture
INC000045,HH000045,114385,Agriculture
INC000046,HH000046,33004,Salary
INC000047,HH000047,116507,Business
INC000048,HH000048,35084,Salary
INC000049,HH000049,39498,Daily Wage
INC000050,HH000050,44574,Daily Wage
INC000051,HH000051,103485,Daily Wage
INC000052,HH000052,112487,Business
INC000053,HH000053,104728,Salary
INC000054,HH000054,90180,Business
INC000055,HH000055,32566,Salary
INC000056,HH000056,58840,Salary
INC000057,HH000057,57542,Agriculture
INC000058,HH000058,51162,Business
INC000059,HH000059,17036,Business
INC000060,HH000060,35257,Daily Wage
INC000061,HH000061,117079,Salary
INC000062,HH000062,85482,Daily Wage
INC000063,HH000063,49515,Salary
INC000064,HH000064,18955,Business
INC000065,HH000065,97016,Agriculture
INC000066,HH000066,75781,Business
INC000067,HH000067,115883,Salary
INC000068,HH000068,86462,Daily Wage
INC000069,HH000069,32130,Daily Wage
INC000070,HH000070,19908,Business
INC000071,HH000071,68501,Salary
INC000072,HH000072,55917,Salary
INC000073,HH000073,93890,Business
INC000074,HH000074,80491,Salary
INC000075,HH000075,82229,Daily Wage
INC000076,HH000076,64615,Business
INC000077,HH000077,47097,Business
INC000078,HH000078,58506,Salary
INC000079,HH000079,9488,Salary
INC000080,HH000080,98802,Business
INC000081,HH000081,67774,Business
INC000082,HH000082,38821,Salary
INC000083,HH000083,107386,Salary
INC000084,HH000084,95917,Business
INC000085,HH000085,104596,Daily Wage
INC000086,HH000086,46531,Business
INC000087,HH000087,96864,Daily Wage
INC000088,HH000088,73899,Daily Wage
INC000089,HH000089,70632,Agriculture
INC000090,HH000090,30425,Daily Wage
INC000091,HH000091,55629,Daily Wage
INC000092,HH000092,10755,Agriculture
INC000093,HH000093,31222,Business
